product_name,product_url,image_url,price,category,is_in_stock,measurements
Sylvia Basket Organic Eggs – Tray Of 30,https://greenspoon.co.ke/product/sylvia-basket-organic-eggs-tray-of-30/,https://greenspoon.co.ke/wp-content/uploads/2024/06/greenspoon-SYLVIA-Basket-1-of-1-720x480.jpg,KShs 939,Dairy,true,Tray Of 30
Isinya Eggs Tray – 30 Pack,https://greenspoon.co.ke/product/isinya-eggs-tray-30-pack/,https://greenspoon.co.ke/wp-content/uploads/2024/11/Greenspoon-isinya-30-2-of-1-720x480.jpg,KShs 589,Dairy,true,30 Pack
Zuriel Fresh Farm Organic Free Range Eggs – 15 Pack,https://greenspoon.co.ke/product/zuriel-fresh-farm-organic-free-range-eggs-15-pack/,https://greenspoon.co.ke/wp-content/uploads/2023/10/Greenspoon-Kenya-Zuriel-Fresh-Farm-Organic-Free-Range-Eggs-720x480.jpg,KShs 489,Dairy,true,15 Pack
Greenspoon Farm Fresh Eggs – 30 Pack,https://greenspoon.co.ke/product/greenspoon-farm-fresh-eggs-30-pack/,https://greenspoon.co.ke/wp-content/uploads/2025/12/Greenspoon-107-720x480.jpg,KShs 598,Dairy,true,30 Pack
Limuru Coriander (Dhania) – 50g Bunch,https://greenspoon.co.ke/product/limuru-coriander-dhania-50g-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Kenya-Coriander-720x480.jpg,KShs 29,Fresh Herbs,true,50g Bunch
Mlango Farm Organic Flat Parsley – Bunch,https://greenspoon.co.ke/product/mlango-farm-flat-parsley-order-by-9pm-next-day-delivery-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Flat-Parsley-Mlango-Farm1-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Organic Mint Bunch,https://greenspoon.co.ke/product/farmerpurity-organic-mint-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/11/Greenspoon-AAA-Mint-720x480.jpg,KShs 49,Fresh Herbs,true,
Mlango Farm Organic Rosemary – Bunch,https://greenspoon.co.ke/product/mlango-farm-organic-rosemary-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Rosemary-Mlango-Farm-1-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Limuru Dill – Bunch,https://greenspoon.co.ke/product/limuru-dill-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Kenya-Dill-720x480.jpg,KShs 49,Fresh Herbs,true,Bunch
Mlango Farm Organic Lemongrass Bunch – Approx. 5 Stalks / 150g,https://greenspoon.co.ke/product/mlango-farm-organic-lemongrass-bunch-approx-5-stalks-150g/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Lemon-Grass-Mlango-Farm-1-720x480.jpg,KShs 59,Fresh Herbs,true,Approx. 5 Stalks / 150g
Limuru Thyme – 50g Bunch,https://greenspoon.co.ke/product/limuru-thyme-50g-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/01/3J2A8911-720x480.jpg,KShs 69,Fresh Herbs,true,50g Bunch
Mlango Farm Organic Thyme – Bunch,https://greenspoon.co.ke/product/mlango-farm-organic-thyme-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Thyme-Mlango-Farm-1-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Organic Curly Parsley – Bunch,https://greenspoon.co.ke/product/organic-curly-parsley-bunch/,https://greenspoon.co.ke/wp-content/uploads/2023/08/Greenspoon-Kenya-Kilimohai-Organic-Curly-Parsley-Bunch-720x480.jpg,KShs 59,Fresh Herbs,true,Bunch
Limuru Italian/ Flat Parsley – Bunch,https://greenspoon.co.ke/product/limuru-italian-flat-parsley-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-1238-720x480.jpg,KShs 69,Fresh Herbs,true,Bunch
Mlango Farm Organic Oregano – Bunch,https://greenspoon.co.ke/product/mlango-farm-oregano-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/05/Greenspoon-Kenya-Oregano-MF-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Organic Flat Parsley – Bunch,https://greenspoon.co.ke/product/organic-flat-parsley-bunch/,https://greenspoon.co.ke/wp-content/uploads/2023/06/Greenspoon-720x480.jpg,KShs 69,Fresh Herbs,true,Bunch
Limuru Mint – Bunch,https://greenspoon.co.ke/product/limuru-mint-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Kenya-Mint-720x480.jpg,KShs 69,Fresh Herbs,true,Bunch
Limuru Chives – Bunch,https://greenspoon.co.ke/product/limuru-chives-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/3J2A8928-720x480.jpg,KShs 69,Fresh Herbs,true,Bunch
Mlango Farm Organic Curly Parsley – Bunch,https://greenspoon.co.ke/product/mlango-farm-curly-parsley-order-by-9pm-next-day-delivery-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Curly-Parsley-Mlango-Farm-720x480.jpg,KShs 59,Fresh Herbs,true,Bunch
Sylvia Basket Rosemary – Bunch,https://greenspoon.co.ke/product/sylvia-basket-rosemary-bunch/,https://greenspoon.co.ke/wp-content/uploads/2019/12/Greenspoon-Kenya-Bunched-Rosemary-720x480.jpg,KShs 49,Fresh Herbs,true,Bunch
Limuru Sage – Bunch,https://greenspoon.co.ke/product/limuru-sage-bunch/,https://greenspoon.co.ke/wp-content/uploads/2024/12/Untitled-design-38-3-720x480.jpg,KShs 59,Fresh Herbs,true,Bunch
Mlango Farm Organic Sage – Bunch,https://greenspoon.co.ke/product/mlango-farm-sage-order-by-9pm-next-day-delivery-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Sage-Mlango-Farm-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Limuru Oregano – Bunch,https://greenspoon.co.ke/product/limuru-oregano-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/04/Greenspoon-Kenya-Oregano-720x480.jpg,KShs 69,Fresh Herbs,true,Bunch
Organic Turmeric – 125g,https://greenspoon.co.ke/product/kilimohai-bunched-rosemary-100g/,https://greenspoon.co.ke/wp-content/uploads/2022/09/Greenspoon-720x480.jpg,KShs 98,Fresh Herbs,true,125g
Mlango Farm Organic Tarragon – Bunch,https://greenspoon.co.ke/product/mlango-farm-organic-tarragon-bunch/,https://greenspoon.co.ke/wp-content/uploads/2022/02/Greenspoon-Tarragon-Mlango-Farm-1-720x480.jpg,KShs 39,Fresh Herbs,true,Bunch
Limuru Basil – Bunch (Approx. 100g),https://greenspoon.co.ke/product/limuru-basil-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-Kenya-Basil-1-720x480.jpg,KShs 79,Fresh Herbs,true,Bunch (Approx. 100g)
Evergreen Fresh Basil – 50g,https://greenspoon.co.ke/product/evergreen-fresh-basil-50g-punnet/,https://greenspoon.co.ke/wp-content/uploads/2021/09/GREENSPOON-Evergreen-fresh-basil-1-of-1-720x480.jpg,KShs 59,Fresh Herbs,true,50g
Limuru Curly Parsley – Bunch,https://greenspoon.co.ke/product/limuru-parsley-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/Greenspoon-33-720x480.jpg,KShs 49,Fresh Herbs,true,Bunch
Organic Thyme – 100g Bunch,https://greenspoon.co.ke/product/organic-thyme-100g-bunch/,https://greenspoon.co.ke/wp-content/uploads/2021/12/3J2A8909-720x480.jpg,KShs 69,Fresh Herbs,true,100g Bunch
Wax &amp; Scents Vanilla Bean Candle – 220g,https://greenspoon.co.ke/product/wax-scents-vanilla-bean-candle-220g/,https://greenspoon.co.ke/wp-content/uploads/2024/07/greenspoon-Wax-scents-vanilla-bean-1-of-1-720x480.jpg,"KShs 2,489",Home,true,220g
Wax &amp; Scents Tarocco Orange Candle – 220g,https://greenspoon.co.ke/product/wax-scents-tarocco-orange-candle-220g/,https://greenspoon.co.ke/wp-content/uploads/2024/07/greenspoon-Wax-scents-tarocco-1-of-1-720x480.jpg,"KShs 2,489",Home,true,220g
Cinnabar Green Energizing Blend Massage Oil – 200ml,https://greenspoon.co.ke/product/cinnabar-green-energizing-blend-massage-oil-200ml/,https://greenspoon.co.ke/wp-content/uploads/2023/05/CG-Massage-Energising-200ml-720x480.jpg,"KShs 1,449",Home,true,200ml
Dream Bees Spiraling Tower Candle – 9cm x 3cm,https://greenspoon.co.ke/product/dream-bees-spiraling-tower-candle-9cm-x-3cm/,https://greenspoon.co.ke/wp-content/uploads/2024/12/greenspoon_dream_bees_spiral_tower_pink-2332-720x480.jpg,KShs 559,Home,true,9cm x 3cm
Grounded Sweet Dreams Aromatherapy Spray 100ml,https://greenspoon.co.ke/product/sweet-dreams-aromatherapy-spray/,https://greenspoon.co.ke/wp-content/uploads/2020/06/Greenspoon-Kenya-Sweet-Dreams-Grounded-1-720x480.jpg,KShs 549,Home,true,100ml
